X,Y,METER_ID,STREET_ADD,STATUS,LATITUDE,LONGITUDE,LONLATCONC
6059564.6060335636,2112673.9974096268,15602,15th St Oakland CA,,37.78421600,-122.23756400,"-122.237564, 37.784216"
6059698.9833894819,2112625.9794610441,15603,15th St Oakland CA,,37.78409100,-122.23709600,"-122.237096, 37.784091"
6060085.2178532332,2112334.3842437118,15604,15th St Oakland CA,,37.78331000,-122.23574100,"-122.235741, 37.78331"
6060473.8522465676,2112031.4606369585,15605,15th St Oakland CA,,37.78249800,-122.23437700,"-122.234377, 37.782498"
6061545.107649982,2111206.7798716277,15606,15th St Oakland CA,,37.78028800,-122.23061800,"-122.230618, 37.780288"
6061828.0057062358,2110983.4033498764,15607,15th St Oakland CA,,37.77968900,-122.22962500,"-122.229625, 37.779689"
6062023.4967850596,2110831.9318680465,15608,15th St Oakland CA,,37.77928300,-122.22893900,"-122.228939, 37.779283"
6062088.1682436466,2110780.8437156379,15610,15th St Oakland CA,,37.77914600,-122.22871200,"-122.228712, 37.779146"
6062154.8032809794,2110820.4013793021,15612,15th St Oakland CA,,37.77925800,-122.22848400,"-122.228484, 37.779258"
6062110.6731198877,2110762.9474259615,15614,15th St Oakland CA,,37.77909800,-122.22863300,"-122.228633, 37.779098"
6062479.8646387309,2110469.153066054,15615,15th St Oakland CA,,37.77831000,-122.22733700,"-122.227337, 37.77831"
6062486.6720398068,2110477.7675501257,15616,15th St Oakland CA,,37.77833400,-122.22731400,"-122.227314, 37.778334"
6062756.0238633156,2110334.0431000441,15618,15th St Oakland CA,,37.77795300,-122.22637300,"-122.226373, 37.777953"
6062751.6088458896,2110314.0946491361,15619,15th St Oakland CA,,37.77789800,-122.22638700,"-122.226387, 37.777898"
6062812.8085266501,2110262.7082689703,15620,15th St Oakland CA,,37.77776000,-122.22617200,"-122.226172, 37.77776"
6062813.8905454725,2110274.3421039581,15622,15th St Oakland CA,,37.77779200,-122.22616900,"-122.226169, 37.777792"
6063323.4256156385,2109972.1442175508,15624,15th St Oakland CA,,37.77698800,-122.22438700,"-122.224387, 37.776988"
6063814.9423491508,2109664.0966053009,15625,15th St Oakland CA,,37.77616700,-122.22266700,"-122.222667, 37.776167"
6063816.3403122276,2109661.5214792192,15626,15th St Oakland CA,,37.77616000,-122.22266200,"-122.222662, 37.77616"
6063817.7451650649,2109659.3108537197,20339,0339 2nd St Oakland CA,,37.77615400,-122.22265700,"-122.222657, 37.776154"
6064665.2982599735,2109109.4651686251,20341,0341 2nd St Oakland CA,,37.77468700,-122.21969000,"-122.21969, 37.774687"
6064896.4831650555,2108963.9146067202,20343,0343 2nd St Oakland CA,,37.77429900,-122.21888100,"-122.218881, 37.774299"
6064823.9610003978,2108997.2947892994,20345,0345 2nd St Oakland CA,,37.77438700,-122.21913400,"-122.219134, 37.774387"
6064974.9160790592,2108969.0290977955,20346,0346 2nd St Oakland CA,,37.77431700,-122.21861000,"-122.21861, 37.774317"
6064959.9203741401,2108923.781484887,20347,0347 2nd St Oakland CA,,37.77419200,-122.21865900,"-122.218659, 37.774192"
6065149.6644172221,2108772.4392678887,20348,0348 2nd St Oakland CA,,37.77378600,-122.21799300,"-122.217993, 37.773786"
6065195.6554669738,2108742.4603252113,20349,0349 2nd St Oakland CA,,37.77370600,-122.21783200,"-122.217832, 37.773706"
6049044.5260238945,2121001.4577887952,20350,0350 2nd St Oakland CA,NO METER FOUND,37.80653982,-122.27450730,"-122.2745073, 37.80653982"
6049016.4355288893,2120972.272479713,20436,0436 2nd St Oakland CA,NO METER FOUND,37.80645822,-122.27460260,"-122.2746026, 37.80645822"
6049027.6389185637,2121009.9469450414,20438,0438 2nd St Oakland CA,NO METER FOUND,37.80656225,-122.27456630,"-122.2745663, 37.80656225"
6049000.3637106419,2120981.0847980529,20440,0440 2nd St Oakland CA,,37.80648158,-122.27465880,"-122.2746588, 37.80648158"
6049011.4519430548,2121018.7684497088,20442,0442 2nd St Oakland CA,,37.80658563,-122.27462290,"-122.2746229, 37.80658563"
6048980.6203118116,2120991.3216542155,20444,0444 2nd St Oakland CA,,37.80650866,-122.27472780,"-122.2747278, 37.80650866"
6048992.1662204713,2121028.7815530449,20446,0446 2nd St Oakland CA,,37.80661212,-122.27469030,"-122.2746903, 37.80661212"
6048968.8158734739,2121045.3651812971,20452,0452 2nd St Oakland CA,,37.80665644,-122.27477220,"-122.2747722, 37.80665644"
6048950.4773274809,2121055.0147683024,20454,0454 2nd St Oakland CA,,37.80668198,-122.27483630,"-122.2748363, 37.80668198"
6048930.4448872358,2121065.2529367954,20456,0456 2nd St Oakland CA,,37.80670905,-122.27490630,"-122.2749063, 37.80670905"
6048918.518401891,2121022.9748061299,20458,0458 2nd St Oakland CA,,37.80659234,-122.27494480,"-122.2749448, 37.80659234"
6048912.3314063996,2121074.5849391371,20459,0459 2nd St Oakland CA,,37.80673373,-122.27496960,"-122.2749696, 37.80673373"
6048891.5574978143,2121085.3401669711,20460,0460 2nd St Oakland CA,,37.80676218,-122.27504220,"-122.2750422, 37.80676218"
6048878.9512238055,2121043.7884127945,20461,0461 2nd St Oakland CA,,37.80664743,-122.27508310,"-122.2750831, 37.80664743"
6048872.0434292257,2121095.474004969,20462,0462 2nd St Oakland CA,,37.80678899,-122.27511040,"-122.2751104, 37.80678899"
6048853.9607882351,2121104.8965582997,20463,0463 2nd St Oakland CA,,37.80681392,-122.27517360,"-122.2751736, 37.80681392"
6048832.9549247324,2121115.6196339577,20464,0464 2nd St Oakland CA,,37.80684227,-122.27524700,"-122.275247, 37.80684227"
6048825.5323673934,2121071.6170973033,20465,0465 2nd St Oakland CA,,37.80672106,-122.27526980,"-122.2752698, 37.80672106"
6048815.704303056,2121124.7203375548,20467,0467 2nd St Oakland CA,,37.80686636,-122.27530730,"-122.2753073, 37.80686636"
6049284.0767259002,2116732.9738717079,20469,0469 2nd St Oakland CA,,37.79483175,-122.27339830,"-122.2733983, 37.79483175"
6049240.9229408056,2116755.500729546,20470,0470 2nd St Oakland CA,NO METER FOUND,37.79489136,-122.27354910,"-122.2735491, 37.79489136"
6049240.9229408056,2116755.500729546,20471,0471 2nd St Oakland CA,,37.79489136,-122.27354910,"-122.2735491, 37.79489136"
6049202.6343034804,2116775.4993772209,20472,0472 2nd St Oakland CA,NO METER FOUND,37.79494428,-122.27368290,"-122.2736829, 37.79494428"
6049225.9528263956,2116816.4838753045,20474,0474 2nd St Oakland CA,NO METER FOUND,37.79505803,-122.27360490,"-122.2736049, 37.79505803"
6049202.6343034804,2116775.4993772209,20476,0476 2nd St Oakland CA,NO METER FOUND,37.79494428,-122.27368290,"-122.2736829, 37.79494428"
6049191.6166089773,2116834.5757026374,20477,0477 2nd St Oakland CA,,37.79510592,-122.27372490,"-122.2737249, 37.79510592"
6049174.5329817235,2116790.1735604703,20479,0479 2nd St Oakland CA,,37.79498311,-122.27378110,"-122.2737811, 37.79498311"
6049134.0442175567,2116848.0786283761,20501,0501 2nd St Oakland CA,NO METER FOUND,37.79514000,-122.27392500,"-122.273925, 37.79514"
6048550.1582462341,2117146.4983071387,20502,0502 2nd St Oakland CA,,37.79592900,-122.27596500,"-122.275965, 37.795929"
6048535.2740896493,2117154.0642368793,20503,0503 2nd St Oakland CA,,37.79594900,-122.27601700,"-122.276017, 37.795949"
6048566.1418100595,2117158.7994636297,20504,0504 2nd St Oakland CA,,37.79596361,-122.27591050,"-122.2759105, 37.79596361"
6048566.1418100595,2117158.7994636297,20505,0505 2nd St Oakland CA,,37.79596361,-122.27591050,"-122.2759105, 37.79596361"
6048528.3489066511,2117178.9788852185,20506,0506 2nd St Oakland CA,NO METER FOUND,37.79601705,-122.27604260,"-122.2760426, 37.79601705"
6048528.3489066511,2117178.9788852185,20507,0507 2nd St Oakland CA,,37.79601705,-122.27604260,"-122.2760426, 37.79601705"
6048378.0926454812,2117256.1073398888,20508,0508 2nd St Oakland CA,,37.79622100,-122.27656760,"-122.2765676, 37.796221"
6048357.2081728131,2117267.2657821327,20510,0510 2nd St Oakland CA,,37.79625055,-122.27664060,"-122.2766406, 37.79625055"
6048357.2081728131,2117267.2657821327,20512,0512 2nd St Oakland CA,,37.79625055,-122.27664060,"-122.2766406, 37.79625055"
6048324.7079097331,2117284.6062986255,20514,0514 2nd St Oakland CA,,37.79629647,-122.27675420,"-122.2767542, 37.79629647"
6048324.7079097331,2117284.6062986255,20518,0518 2nd St Oakland CA,,37.79629647,-122.27675420,"-122.2767542, 37.79629647"
6048312.7102303058,2117237.1838213056,20522,0522 2nd St Oakland CA,,37.79616563,-122.27679260,"-122.2767926, 37.79616563"
